i \in I,j \in M,d_ij
2,E13,517.1669769151544
2,E14,413.393524289479
2,E15,436.38472333077925
2,E16,443.212335437238
2,E17,333.4465325598032
2,E18,398.7023321191605
2,E19,517.0223950108478
2,E20,531.3713833114934
2,E21,487.4881638662839
2,E22,516.7515631642755
2,E23,533.8956080196972
2,E24,496.92790988070186
2,E25,495.72361745371603
2,E26,490.4998104292705
2,E27,411.6394948565362
2,E28,397.99042633961756
2,E29,474.3657930506365
2,E30,307.81636272893286
2,E31,279.45245122921284
2,E32,323.09482750179853
2,E33,451.7652327338672
2,E34,292.57092252995756
2,E35,262.5130330677255
2,E36,219.7789687771956
2,E37,207.89672649070903
2,E38,331.4254895968579
2,E39,72.8660685931325
2,E40,62.54135228226699
2,E41,30.781933800641987
2,E42,115.53561466205718
2,E43,116.22991442867047
2,E44,127.21884795060231
2,E45,185.34237665857938
2,E46,261.78946444108055
2,P1,30.966669420109177
2,P2,476.4391150129188
2,P3,448.36713736278625
2,P4,502.1610225858454
2,P5,464.23721637843374
2,P6,531.0427869750929
2,P7,581.2950372394255
2,P8,278.5911860739359
2,P9,285.61283938208555
2,P10,480.5283798439051
2,P11,381.97428484544184
2,P12,541.0166271368594
2,P13,514.6591654492937
2,P14,487.17701677601957
2,P15,517.1756301530505
2,P16,301.17643286474083
2,P17,520.5158232595112
2,P18,310.87301549882676
2,P19,46.40555346188944
2,P20,360.1216685498096
2,P21,277.3225938295503
2,P22,486.9941344652078
2,P23,355.97618382051945
2,P24,450.6633367326794
2,P25,503.16818115004855
2,P26,516.0131648436709
2,P27,473.60570667303136
2,P28,562.876020859204
2,P29,224.34113266256833
2,P30,180.6135874298398
2,P31,206.6731030304467
2,P32,326.7101956329628
2,P33,379.8455491133143
2,P34,289.14826575391425
2,P35,552.7366090629134
2,P36,57.743541538799576
2,P37,497.5932858896182
2,P38,108.51481457833913
2,P39,282.48161997176385
2,P40,428.54312596112965
2,P41,504.41802521643143
2,P42,474.6192596045148
2,P43,526.8569689224911
2,P44,247.8245514483326
2,P45,455.56192001233677
2,P46,548.4321255671501
2,P47,198.6807976251644
2,P48,333.00864988217063
2,P49,490.8556089756327
2,P50,534.9594062003416
3,E1,475.7598554796927
3,E2,364.9151736447269
